userid,address,assigned coach,assigned meal plan,birth date,physical problems,default meal plan,email,first name,last name,planid,product,phone number,coach notes about physical problems,daily activity level,days available to workout,current workout days,weight,user device,allergen tags,meal goals,gender,current weight,height,weight goal,dietary restrictions
user_1,"76155 Contreras Drives Apt. 274, Jenniferhaven, FL 43469",Coach Bob,Keto,1976-02-21,Shoulder impingement,Low Carb,raymond17@hotmail.com,Natalie,Haney,plan_4,Weight Loss,795-839-6994x469,Hamstring strain,Low,"Monday, Tuesday, Wednesday, Friday, Thursday, Saturday",6,109.3,Android,Gluten,Improve Stamina,Female,109.3,150.6,102.2,Vegan
user_2,"689 Douglas Harbors Apt. 914, South Maureen, OK 54852",Coach Charlie,Vegan,1976-09-23,Rotator cuff tear,Keto,ohall@sullivan.com,Brianna,Rowland,plan_6,Healthy Living,+1-953-178-8615,Muscle tightness,High,"Friday, Tuesday, Wednesday, Saturday, Thursday, Sunday",5,97.4,iPhone,Lactose,Lose Fat,Female,97.4,162.5,103.2,Vegetarian
user_3,"766 Renee Springs Apt. 378, Port Chrisshire, GA 35176",Coach Bob,Keto,1978-09-23,Tennis elbow,Vegan,josephbradley@gmail.com,Natalie,Meyer,plan_5,Weight Gain,0221324943,Sciatica,High,"Wednesday, Tuesday, Thursday, Monday",4,66.0,iPhone,Soy,Build Muscle,Female,66.0,160.9,74.0,None
user_4,"898 Galloway Summit, Sharpmouth, IN 56933",Coach Bob,Low Carb,1973-12-08,Achilles tendonitis,Vegan,charleshull@yahoo.com,Jacqueline,Smith,plan_10,Cardio Booster,(620)938-7498x5414,Spine disc issue,Low,"Thursday, Sunday, Saturday, Friday, Tuesday",0,52.4,Fitbit,Soy,Improve Stamina,Female,52.4,174.6,60.7,Vegan
user_5,"27833 Robert Manor, Dixonburgh, OH 50047",Coach Bob,Balanced,1981-04-15,Shin splints,Keto,ronaldfranklin@hotmail.com,Samantha,Smith,plan_9,Weight Loss,548.844.9701x266,Chronic fatigue,Low,"Wednesday, Friday, Monday",3,93.9,Android,Lactose,Maintain Weight,Female,93.9,158.2,82.3,Vegetarian
user_6,"33011 Kelley Drives Suite 525, Hollymouth, TN 26999",Coach Diana,Balanced,1982-08-09,IT band syndrome,Vegan,stevenrodriguez@ford-frazier.biz,Christina,Marshall,plan_3,Healthy Living,001-233-289-9204,Sciatica,Low,"Friday, Saturday, Tuesday",1,57.2,Android,Gluten,Improve Stamina,Female,57.2,164.0,63.5,Vegan
user_7,"5464 Myers Garden, Baileybury, AK 66257",Coach Charlie,Vegan,1964-06-29,Muscle tightness,High Protein,andersonwilliam@hotmail.com,Tina,Kelly,plan_10,Weight Gain,000-340-7866,Shoulder impingement,High,"Tuesday, Wednesday, Sunday, Saturday",0,119.6,Android,None,Lose Fat,Female,119.6,169.1,126.7,Vegan
user_8,"740 Michelle Unions Suite 958, North Anthonyshire, MI 80815",Coach Bob,High Protein,1976-06-06,Knee pain,Vegan,chad99@yahoo.com,Briana,Mejia,plan_2,Cardio Booster,(111)689-8313,Hip bursitis,High,"Saturday, Wednesday, Friday",0,117.3,Android,None,Build Muscle,Female,117.3,175.8,124.8,Pescatarian
user_9,"50571 Maria Flats, Yangland, WV 55344",Coach Diana,Vegan,1972-05-23,Knee injury,Keto,jessicasmith@mason-medina.com,Rebecca,Salinas,plan_4,Weight Loss,001-770-278-5305x9132,Sciatica,High,"Tuesday, Monday, Thursday, Saturday",6,83.5,Android,Soy,Improve Stamina,Female,83.5,163.3,77.0,None
user_10,"34859 Romero Mount, Port Kennethberg, DC 53076",Coach Bob,Balanced,1970-03-03,Muscle tightness,Vegan,andrea89@crane.info,Lori,Rollins,plan_1,Healthy Living,867.860.6940x096,Tennis elbow,Low,"Saturday, Wednesday, Monday",5,98.1,Apple Watch,Lactose,Lose Fat,Female,98.1,159.1,107.3,Vegetarian
